Team Name,Team Name,TeamYear,Roster,25-Man Payroll,IR,Retained,Buried,Suspended,Total Payroll,RelPayPerYear,Year
Detroit Tigers,Tigers,Tigers2016,34,163019728,28189200,8675064,2555000,-,200179285,149.2014317,2016
Chicago Cubs,Cubs,Cubs2016,36,161378832,2050500,19412586,3230000,-,184352494,137.4051068,2016
San Francisco Giants,Giants,Giants2016,36,176177032,487120,1082965,4352500,-,178326844,132.9139548,2016
Los Angeles Angels,Angels,Angels2016,33,89878997,39667205,42327190,6071500,-,174363407,129.9598505,2016
Texas Rangers,Rangers,Rangers2016,37,134724626,21458018,6652924,2033000,-,163021690,121.5064263,2016
Toronto Blue Jays,Blue Jays,Blue Jays2016,36,138232539,1000000,12644767,4083200,-,152285479,113.5043093,2016
Baltimore Orioles,Orioles,Orioles2016,35,144461083,2650245,2773173,3061000,-,150302252,112.0261329,2016
St. Louis Cardinals,Cardinals,Cardinals2016,36,132790389,13596500,2968981,-,-,149355870,111.3207574,2016
New York Mets,Mets,Mets2016,38,101798286,39822605,6117623,-,-,147738514,110.1152789,2016
Seattle Mariners,Mariners,Mariners2016,35,131833221,4036934,9931590,3556000,-,146536553,109.2194105,2016
Kansas City Royals,Royals,Royals2016,35,106349212,20825000,14210664,1016000,-,141587358,105.5305823,2016
Washington Nationals,Nationals,Nationals2016,35,119216458,5869400,14207786,515900,-,139383852,103.8882233,2016
Chicago White Sox,White Sox,White Sox2016,35,88724466,12024268,28966952,-,-,129715686,96.682162,2016
Colorado Rockies,Rockies,Rockies2016,37,88354041,1289832,16710362,3037000,-,107902280,80.42377939,2016
Cleveland Indians,Indians,Indians2016,37,61284062,11875000,30765065,2015000,1000000,105971268,78.98452081,2016
Philadelphia Phillies,Phillies,Phillies2016,37,53797706,22025303,21909132,6166668,-,103898809,77.43983625,2016
Houston Astros,Astros,Astros2016,34,75441606,6968124,19455584,2507500,-,103328742,77.01494307,2016
Pittsburgh Pirates,Pirates,Pirates2016,34,57311465,10861276,31267751,2030000,-,99518136,74.17474974,2016
Arizona Diamondbacks,Diamondbacks,Diamondbacks2016,35,78823003,1051200,17455091,3561200,-,97874482,72.94967028,2016
Minnesota Twins,Twins,Twins2016,31,61165450,24241532,8975794,3782000,-,97244457,72.48008807,2016
Atlanta Braves,Braves,Braves2016,35,46917344,8116832,41248677,4650000,-,96080633,71.61264463,2016
Cincinnati Reds,Reds,Reds2016,31,63783665,11856070,10862757,4953000,-,88626437,66.0567415,2016
San Diego Padres,Padres,Padres2016,35,21580892,13711664,48181815,1016800,-,83507657,62.24151505,2016
Oakland Athletics,Athletics,Athletics2016,34,27854151,19754414,35098597,507500,-,82879088,61.77301805,2016
Miami Marlins,Marlins,Marlins2016,37,61342038,-,12832559,6199500,-,77715306,57.92424984,2016
Tampa Bay Rays,Rays,Rays2016,33,36226000,5226100,20177348,3537000,-,63908549,47.63353514,2016
Milwaukee Brewers,Brewers,Brewers2016,35,49464613,2517700,8299097,4262100,-,62161191,46.33116104,2016
Los Angeles Dodgers,Dodgers,Dodgers2015,38,199977688,20914084,70324195,16826000,-,301735080,233.9956425,2015
New York Yankees,Yankees,Yankees2015,40,187271441,24415379,9939561,2542500,507500,222528373,172.5708181,2015
San Francisco Giants,Giants,Giants2015,36,133109385,38423837,12322089,3732500,-,186413630,144.5638244,2015
Boston Red Sox,Red Sox,Red Sox2015,35,95030446,42985571,45443277,1522500,-,183481478,142.2899397,2015
Washington Nationals,Nationals,Nationals2015,39,146009803,17556549,2000000,507500,-,165655095,128.4655744,2015
Detroit Tigers,Tigers,Tigers2015,37,109879336,27072978,25208607,-,-,162160921,125.7558415,2015
Texas Rangers,Rangers,Rangers2015,38,124525876,13135760,14368970,2560000,-,152445607,118.2216127,2015
Los Angeles Angels,Angels,Angels2015,39,106512083,19015000,24043722,4241500,-,151348162,117.3705437,2015
Philadelphia Phillies,Phillies,Phillies2015,33,52800331,33290177,51719664,6302666,-,141722639,109.9059478,2015
Toronto Blue Jays,Blue Jays,Blue Jays2015,37,106426104,6382500,25214964,3578100,-,138309664,107.2591847,2015
Chicago Cubs,Cubs,Cubs2015,37,106652384,1000000,23656617,3757500,-,132993810,103.1367384,2015
St. Louis Cardinals,Cardinals,Cardinals2015,38,128814787,3195000,-,3552500,-,132178951,102.504815,2015
Kansas City Royals,Royals,Royals2015,36,111740891,10483450,4047582,2538200,-,126529835,98.12392391,2015
Seattle Mariners,Mariners,Mariners2015,33,95874782,1383169,25921321,4538400,-,126045473,97.74830104,2015
Chicago White Sox,White Sox,White Sox2015,32,94365735,507500,9052252,1950000,13000000,118875487,92.18797481,2015
Baltimore Orioles,Orioles,Orioles2015,37,93958315,1245000,22276584,2566500,-,117784476,91.34189546,2015
New York Mets,Mets,Mets2015,38,102480260,5551249,1579200,6837900,-,115698927,89.7245516,2015
